sample category	sample name	protein accessions	spectrum count
grouping-examples	MoreGroupingExamples	Toy3_P7,Case1_P2,Case4_P2,Toy3_P4,Case4_P1,Toy3_P6,Occam_P3,Toy1_P1,Case2_P2,CountTest_P1,Case3_P1,Toy1_P4,Occam_P2,Toy3_P2,Case2_P1,CountTest_P2,Occam_P1,Toy1_P3,Case3_P2,Toy3_P5,Case1_P1,Toy3_P3,Toy1_P5,Toy1_P2,CountTest_P3,Toy3_P1	18.0
multi-experiment-grouping	Experiment1	Toy3_P7,Case1_P2,Case4_P2,Toy3_P4,Case4_P1,Toy3_P6,Occam_P3,Toy1_P1,Case2_P2,CountTest_P1,Case3_P1,Toy1_P4,Occam_P2,Toy3_P2,Case2_P1,CountTest_P2,Occam_P1,Toy1_P3,Case3_P2,Toy3_P5,Case1_P1,Toy3_P3,Toy1_P5,Toy1_P2,CountTest_P3,Toy3_P1	3.0
multi-experiment-grouping	Experiment2	Toy3_P7,Case1_P2,Case4_P2,Toy3_P4,Case4_P1,Toy3_P6,Occam_P3,Toy1_P1,Case2_P2,CountTest_P1,Case3_P1,Toy1_P4,Occam_P2,Toy3_P2,Case2_P1,CountTest_P2,Occam_P1,Toy1_P3,Case3_P2,Toy3_P5,Case1_P1,Toy3_P3,Toy1_P5,Toy1_P2,CountTest_P3,Toy3_P1	2.0
grouping-examples	SimplestGroupingCases	Toy3_P7,Case1_P2,Case4_P2,Toy3_P4,Case4_P1,Toy3_P6,Occam_P3,Toy1_P1,Case2_P2,CountTest_P1,Case3_P1,Toy1_P4,Occam_P2,Toy3_P2,Case2_P1,CountTest_P2,Occam_P1,Toy1_P3,Case3_P2,Toy3_P5,Case1_P1,Toy3_P3,Toy1_P5,Toy1_P2,CountTest_P3,Toy3_P1	11.0
grouping-examples	MoreGroupingExamples	Toy2_P1,Toy2_P2,Toy2_P3	3.0
grouping-examples	SimplestGroupingCases	Case5_P2,Case5_P3,Case5_P1	3.0
grouping-examples	SimplestGroupingCases	Case6_P2,Case6_P4,Case6_P3,Case6_P1	3.0
grouping-examples	SimplestGroupingCases	Case8_P3,Case8_P1,Case8_P2	3.0
grouping-examples	SimplestGroupingCases	Case7_P3,Case7_P2,Case7_P1	3.0
multi-experiment-grouping	Experiment1	AntiOccam_P1,AntiOccam_P2,AntiOccam_P3	2.0
multi-experiment-grouping	Experiment2	AntiOccam_P1,AntiOccam_P2,AntiOccam_P3	1.0
