sample category	sample name	protein accessions	spectrum count
SimplestGroupingCases	SimplestGroupingCases	Case1_P2,Case1_P1	1.0
SimplestGroupingCases	SimplestGroupingCases	Case6_P4,Case6_P3	1.5
SimplestGroupingCases	SimplestGroupingCases	Case6_P2,Case6_P1	1.5
SimplestGroupingCases	SimplestGroupingCases	Case5_P1	1.5
SimplestGroupingCases	SimplestGroupingCases	Case5_P2,Case5_P3	1.5
SimplestGroupingCases	SimplestGroupingCases	Case8_P2	0.3333333333333333
SimplestGroupingCases	SimplestGroupingCases	Case8_P1	1.3333333333333333
SimplestGroupingCases	SimplestGroupingCases	Case8_P3	1.3333333333333333
SimplestGroupingCases	SimplestGroupingCases	Case9_P2	1.0
SimplestGroupingCases	SimplestGroupingCases	Case9_P1	2.0
SimplestGroupingCases	SimplestGroupingCases	Case9_P3	1.0
SimplestGroupingCases	SimplestGroupingCases	Case7_P2	1.0
SimplestGroupingCases	SimplestGroupingCases	Case7_P1	1.0
SimplestGroupingCases	SimplestGroupingCases	Case7_P3	1.0
SimplestGroupingCases	SimplestGroupingCases	Case10_P1	2.0
SimplestGroupingCases	SimplestGroupingCases	Case10_P3,Case10_P2	2.0
SimplestGroupingCases	SimplestGroupingCases	Case4_P2	1.5
SimplestGroupingCases	SimplestGroupingCases	Case4_P1	1.5
SimplestGroupingCases	SimplestGroupingCases	Case2_P2,Case2_P1	2.0
SimplestGroupingCases	SimplestGroupingCases	Case3_P1,Case3_P2	2.0
