sample category	sample name	protein accessions	spectrum count
grouping-examples	MoreGroupingExamples	Toy3_P7	1.3333333333333333
grouping-examples	SimplestGroupingCases	Toy3_P7	0.6666666666666666
grouping-examples	SimplestGroupingCases	Case2_P1,Case2_P2	1.25
multi-experiment-grouping	Experiment1	Case2_P1,Case2_P2	0.25
multi-experiment-grouping	Experiment2	Case2_P1,Case2_P2	0.25
grouping-examples	SimplestGroupingCases	Case1_P2	0.25
grouping-examples	MoreGroupingExamples	Case1_P2	0.25
multi-experiment-grouping	Experiment1	Case1_P2	0.25
grouping-examples	MoreGroupingExamples	Case3_P1,CountTest_P1,CountTest_P2	2.8333333333333335
multi-experiment-grouping	Experiment1	Case3_P1,CountTest_P1,CountTest_P2	0.3333333333333333
grouping-examples	SimplestGroupingCases	Case3_P1,CountTest_P1,CountTest_P2	1.0
grouping-examples	MoreGroupingExamples	Case4_P2,Toy3_P3	0.6666666666666666
grouping-examples	SimplestGroupingCases	Case4_P2,Toy3_P3	1.3333333333333333
grouping-examples	SimplestGroupingCases	Occam_P1	0.5
grouping-examples	MoreGroupingExamples	Occam_P1	0.25
multi-experiment-grouping	Experiment1	Occam_P1	0.5
multi-experiment-grouping	Experiment2	Occam_P1	0.25
grouping-examples	MoreGroupingExamples	Toy3_P4	1.1666666666666665
multi-experiment-grouping	Experiment2	Toy3_P4	0.5
grouping-examples	SimplestGroupingCases	Toy3_P4	1.3333333333333333
grouping-examples	MoreGroupingExamples	Toy1_P1,Toy1_P3,Toy1_P2	1.5833333333333333
multi-experiment-grouping	Experiment1	Toy1_P1,Toy1_P3,Toy1_P2	0.25
grouping-examples	SimplestGroupingCases	Toy1_P1,Toy1_P3,Toy1_P2	0.25
grouping-examples	MoreGroupingExamples	Toy3_P2,Case4_P1	0.6666666666666666
grouping-examples	SimplestGroupingCases	Toy3_P2,Case4_P1	1.3333333333333333
grouping-examples	MoreGroupingExamples	Toy3_P6,Toy3_P1,Toy3_P5	1.6666666666666665
grouping-examples	SimplestGroupingCases	Toy3_P6,Toy3_P1,Toy3_P5	1.3333333333333333
grouping-examples	MoreGroupingExamples	Case3_P2	1.5
grouping-examples	SimplestGroupingCases	Case3_P2	0.5
grouping-examples	MoreGroupingExamples	CountTest_P3	1.3333333333333333
multi-experiment-grouping	Experiment1	CountTest_P3	0.3333333333333333
grouping-examples	SimplestGroupingCases	CountTest_P3	0.5
grouping-examples	SimplestGroupingCases	Case1_P1	0.25
grouping-examples	MoreGroupingExamples	Case1_P1	0.25
multi-experiment-grouping	Experiment1	Case1_P1	0.25
grouping-examples	MoreGroupingExamples	Occam_P3	0.3333333333333333
multi-experiment-grouping	Experiment1	Occam_P3	0.5833333333333333
multi-experiment-grouping	Experiment2	Occam_P3	0.25
grouping-examples	SimplestGroupingCases	Occam_P3	0.25
grouping-examples	MoreGroupingExamples	Toy1_P5	2.3333333333333335
grouping-examples	MoreGroupingExamples	Toy1_P4	1.3333333333333333
grouping-examples	MoreGroupingExamples	Occam_P2	0.5
multi-experiment-grouping	Experiment1	Occam_P2	0.25
multi-experiment-grouping	Experiment2	Occam_P2	0.75
grouping-examples	SimplestGroupingCases	Occam_P2	0.25
grouping-examples	MoreGroupingExamples	Toy2_P2	0.3333333333333333
grouping-examples	MoreGroupingExamples	Toy2_P1	1.3333333333333333
grouping-examples	MoreGroupingExamples	Toy2_P3	1.3333333333333333
grouping-examples	SimplestGroupingCases	Case5_P2,Case5_P3	1.5
grouping-examples	SimplestGroupingCases	Case5_P1	1.5
grouping-examples	SimplestGroupingCases	Case6_P2,Case6_P1	1.5
grouping-examples	SimplestGroupingCases	Case6_P3,Case6_P4	1.5
grouping-examples	SimplestGroupingCases	Case8_P3	1.5
grouping-examples	SimplestGroupingCases	Case8_P1,Case8_P2	1.5
grouping-examples	SimplestGroupingCases	Case7_P1	1.0
grouping-examples	SimplestGroupingCases	Case7_P3	1.0
grouping-examples	SimplestGroupingCases	Case7_P2	1.0
multi-experiment-grouping	Experiment1	AntiOccam_P2	1.0
multi-experiment-grouping	Experiment2	AntiOccam_P2	0.5
multi-experiment-grouping	Experiment1	AntiOccam_P3,AntiOccam_P1	1.0
multi-experiment-grouping	Experiment2	AntiOccam_P3,AntiOccam_P1	0.5
