sample category	sample name	protein accessions	spectrum count
1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	E7FI45,Q8TZY7	55
2	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U3H4	5
3	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U4I8	9
4	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8TZL4	2
5	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U2H1	6
6	./data/pyro_pt1.pout	Q8U167	1
7	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8TZT8	4
8	./data/pyro_pt2.pout	E7FHT9	1
9	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U0B9	2
10	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U0F0	15
11	./data/pyro_pt1.pout	Q8U371	1
12	./data/pyro_pt1.pout	Q8U3S0	1
13	./data/pyro_pt1.pout	MYG_HUMAN	1
14	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U0H8	11
15	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U0B3	3
16	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U3K3	7
17	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q9HH78	13
18	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U365	11
19	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U4M4	8
20	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U3K2	54
21	./data/pyro_pt1.pout	Q8U4B7	1
22	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8TZE5	10
23	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U489	18
24	./data/pyro_pt1.pout	Q8U440	1
25	./data/pyro_pt1.pout	Q8U2G1	7
26	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U081	7
27	./data/pyro_pt2.pout	Q8U2X5	1
28	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U4B2	2
29	./data/pyro_pt2.pout	Q8U0I2	4
30	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U4A9	3
31	./data/pyro_pt2.pout	Q8U4M5	3
32	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U4I5	16
33	./data/pyro_pt2.pout	Q8U3N1	1
34	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q9V2Z6	24
