sample category	sample name	protein accessions	spectrum count
1_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	E7FI45	36
1_2	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8TZY7	21
2_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U3H4	5
3_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U4I8	9
4_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8TZL4	2
5_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U2H1	6
6_1	./data/pyro_pt1.pout	Q8U167	1
7_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8TZT8	4
8_1	./data/pyro_pt2.pout	E7FHT9	1
9_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U0B9	2
10_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U0F0	15
11_1	./data/pyro_pt1.pout	Q8U371	1
12_1	./data/pyro_pt1.pout	Q8U3S0	1
13_1	./data/pyro_pt1.pout	MYG_HUMAN	1
14_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U0H8	11
15_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U0B3	3
16_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U3K3	7
17_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q9HH78	13
18_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U365	11
19_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U4M4	8
20_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U3K2	54
21_1	./data/pyro_pt1.pout	Q8U4B7	1
22_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8TZE5	10
23_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U489	18
24_1	./data/pyro_pt1.pout	Q8U440	1
25_1	./data/pyro_pt1.pout	Q8U2G1	7
26_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U081	7
27_1	./data/pyro_pt2.pout	Q8U2X5	1
28_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U4B2	2
29_1	./data/pyro_pt2.pout	Q8U0I2	4
30_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U4A9	3
31_1	./data/pyro_pt2.pout	Q8U4M5	3
32_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U4I5	16
33_1	./data/pyro_pt2.pout	Q8U3N1	1
34_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q9V2Z6	24
35_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	P62000	6
36_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U001	16
37_1	./data/pyro_pt1.pout,./data/pyro_pt2.pout	Q8U195	15
