sample category	sample name	protein accessions	spectrum count
grouping-examples	SimplestGroupingCases	Toy3_P7,Case4_P1,Toy3_P6,Toy3_P3,Toy3_P4,Case4_P2,Toy3_P2,Toy3_P5	6.0
grouping-examples	MoreGroupingExamples	Toy3_P7,Case4_P1,Toy3_P6,Toy3_P3,Toy3_P4,Case4_P2,Toy3_P2,Toy3_P5	6.0
grouping-examples	SimplestGroupingCases	Case7_P3,Case7_P2,Case7_P1	3.0
grouping-examples	SimplestGroupingCases	Case5_P3,Case5_P1,Case5_P2	3.0
grouping-examples	SimplestGroupingCases	Case6_P2,Case6_P3,Case6_P1,Case6_P4	3.0
grouping-examples	SimplestGroupingCases	Case2_P1,Case2_P2	2.0
grouping-examples	SimplestGroupingCases	Toy1_P4,Toy1_P5,Toy1_P1	1.0
grouping-examples	MoreGroupingExamples	Toy1_P4,Toy1_P5,Toy1_P1	6.0
grouping-examples	SimplestGroupingCases	Case8_P3,Case8_P1	3.0
grouping-examples	MoreGroupingExamples	Toy2_P3,Toy2_P1	3.0
grouping-examples	SimplestGroupingCases	CountTest_P1	2.0
grouping-examples	MoreGroupingExamples	CountTest_P1	6.0
