sample category	sample name	protein accessions	spectrum count
grouping-examples	SimplestGroupingCases	Case8_P1,Case8_P3,Case8_P2	3.0
grouping-examples	MoreGroupingExamples	Toy2_P1,Toy2_P2,Toy2_P3	3.0
grouping-examples	MoreGroupingExamples	Toy1_P2,Toy1_P4,Case1_P1,Case1_P2,Toy1_P3,Toy1_P1,Toy1_P5	6.0
grouping-examples	SimplestGroupingCases	Toy1_P2,Toy1_P4,Case1_P1,Case1_P2,Toy1_P3,Toy1_P1,Toy1_P5	1.0
grouping-examples	MoreGroupingExamples	CountTest_P1,Case3_P2,CountTest_P3,Case3_P1,CountTest_P2	6.0
grouping-examples	SimplestGroupingCases	CountTest_P1,Case3_P2,CountTest_P3,Case3_P1,CountTest_P2	2.0
grouping-examples	MoreGroupingExamples	Case4_P1,Toy3_P5,Toy3_P7,Toy3_P4,Toy3_P1,Toy3_P3,Toy3_P2,Toy3_P6,Case4_P2	6.0
grouping-examples	SimplestGroupingCases	Case4_P1,Toy3_P5,Toy3_P7,Toy3_P4,Toy3_P1,Toy3_P3,Toy3_P2,Toy3_P6,Case4_P2	6.0
grouping-examples	SimplestGroupingCases	Case6_P4,Case6_P3,Case6_P2,Case6_P1	3.0
grouping-examples	SimplestGroupingCases	Case2_P2,Case2_P1	2.0
grouping-examples	SimplestGroupingCases	Case5_P3,Case5_P1,Case5_P2	3.0
grouping-examples	SimplestGroupingCases	Case7_P3,Case7_P2,Case7_P1	3.0
